FID,BPID,Miles,STREET_NAM,FROM_ROAD,TO_ROAD,BLOCK,WARD,WIDTH__fee,Final_Rati,Rating_Cat,FC_Code,FC_Descrip,Date_Enter,Shape__Length
871,SYR2308,0.110397465039,McLennan Ave,S. Salina,Landon,100,18,28,4,Poor,19,Local,2021/07/16 00:00:00+00,242.831990002416
872,SYR2309,0.17157531731,McLennan Ave.,Landon,Midland,200,18,28,5,Poor,19,Local,2021/07/16 00:00:00+00,377.390245313623
873,SYR231,0.0736102895781,"Beard Ave., W.",Mark,Midland,300,19,28,9,Excellent,19,Local,2021/07/16 00:00:00+00,161.907891901429
874,SYR2310,0.0612371632952,McLennan Ave.,Midland,Argyle,300,19,28,8,Good,19,Local,2021/07/22 00:00:00+00,134.691964260896
875,SYR2311,0.127443478401,Meadowbrook Dr,Lancaster,Buckingham,100,19,40,8,Good,19,Local,2021/07/22 00:00:00+00,280.20443759044
876,SYR2312,0.185709679732,Meadowbrook Dr.,Buckingham,Kensington,200,19,40,7,Good,17,Collector,2021/07/22 00:00:00+00,409.072993460483
877,SYR2313,0.153864751342,Meadowbrook Dr.,Kensington,Wescott,300,19,40,7,Good,17,Collector,2021/07/22 00:00:00+00,338.583086314584
878,SYR2314,0.336535083058,Meadowbrook Dr.,Wescott,Broad,400500,19,40,8,Good,17,Collector,2021/07/22 00:00:00+00,742.00208697663
879,SYR2315,0.16719140263,Meadowbrook Dr.,Broad,Fellows,600,17,40,6,Fair,17,Collector,2021/07/19 00:00:00+00,368.258692243286
880,SYR2316,0.128034528531,Meadowbrook Dr.,Fellows,Westmoreland,700,17,40,6,Fair,17,Collector,2021/07/19 00:00:00+00,281.686871568271
881,SYR2317,0.226660464217,Meadowbrook Dr.,Westmoreland,Nottingham/Dakota,800,17,40,7,Good,17,Collector,2021/07/19 00:00:00+00,498.897022768471
882,SYR2318,0.33890884035,Meadowbrook Dr.,Nottingham/Dakota,Montana,900,17,40,10,Excellent,17,Collector,2021/07/19 00:00:00+00,747.759120882846
883,SYR2319,0.236470114086,Meadowbrook Dr.,Montana,Euclid,1000,17,40,10,Excellent,17,Collector,2021/07/19 00:00:00+00,521.476592690962
884,SYR232,0.121645791772,"Beard Ave., W.",Midland,Glahn,400,19,23,9,Excellent,19,Local,2021/07/16 00:00:00+00,267.521013897015
