FID,OBJECTID,BPID,Road_Class,FC,Miles,Rating_202,Rating_Cat,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Feet,Shape__Len,Shape__Length
1641,616,SYR1671,2,19,0.0490823761329,5,Poor,Hazelwood Ave.,Smith,dead end,1000,17,27,259.154945981,107.963687569,107.963687574498
1642,617,SYR1672,2,19,0.262606963974,9,Excellent,Headson Dr,Erie Blvd.,Thompson Rd.,100,17,30,1386.56476978,577.737628921,577.737628927085
1643,618,SYR1673,2,19,0.074585245235,5,Poor,Helen St,Park,Farmer,100,4,27,393.810094841,164.676168934,164.67616892742
1644,619,SYR1674,2,19,0.088449230615,6,Fair,Helen St,Farmer,Sidney,200,4,27,467.011937647,195.290446249,195.290446239587
1645,620,SYR1675,2,19,0.088561620669,5,Poor,Helen St,Sidney,Rugby Rd,300,4,27,467.605357132,195.543172403,195.543172415778
1646,621,SYR1676,2,19,0.108200962764,5,Poor,Helen St,Rugby Rd,Elsner,400,4,27,571.301083394,238.91169225,238.911692251986
1647,622,SYR1678,2,19,0.122489530323,5,Poor,Helen St,Scoville,Mertens,600,4,27,646.744720108,270.472846833,270.472846815899
1648,623,SYR1679,2,19,0.0881520238,5,Poor,Helen St,Mertens,Grant Blvd.,700,4,27,465.442685664,194.655953368,194.655953377185
1649,624,SYR168,2,19,0.114723390406,7,Good,Baker Ave.,E. Borden,Elizabeth,300,19,27,605.739501341,253.097877227,253.097877219439
1650,625,SYR1680,2,19,0.0781443662951,6,Fair,Henderson St,Oak,dead end,100,6,20,412.602254038,171.945818066,171.945818061743
1651,626,SYR1681,2,19,0.139617429842,9,Excellent,Henesberry Rd,Wolcott,Velasko,100,11,0,737.180029568,306.98568529,306.985685290183
1652,627,SYR1682,2,19,0.122955398145,6,Fair,Henry St,Van Buren,Raynor,100,16,27,649.204502203,271.352087945,271.352087955804
1653,628,SYR1684,2,19,0.0666169623745,7,Good,Herald Pl,N. Salina,N. Clinton,100,9,40,351.737561338,146.532249048,146.53224905212
1654,629,SYR1685,2,19,0.0700536377707,7,Good,Herald Pl,N. Clinton,N. Franklin,200,9,40,369.883207429,154.091699175,154.091699179081
1655,630,SYR1686,2,19,0.0629566220939,5,Poor,Herald Pl,N. Franklin,Wallace,300,9,40,332.410964656,138.513550427,138.513550414598
1656,631,SYR1687,2,19,0.0610279896449,7,Good,Herbert St,Carbon,Spring,100,3,31,322.227785325,134.648084641,134.648084643866
1657,632,SYR1689,2,19,0.0584426657783,7,Good,Herbert St,Gilbert,First North,300,3,31,308.577275309,128.945650656,128.94565065351
1658,633,SYR169,2,19,0.187553874018,6,Fair,Baldwin Ave.,W. Newell,Onon.Crk. Blvd.,100,13,27,990.284454814,413.777136975,413.777136988616
1659,634,SYR1690,2,19,0.0635886171708,6,Fair,Herbst Ave,Vine,Winton,100,6,26,335.747898662,139.88648663,139.886486620542
1660,635,SYR1691,2,19,0.112506542627,5,Poor,Herbst Ave,Winton,Teall,200,6,26,594.034545072,247.500527203,247.500527207247
1661,636,SYR1692,2,19,0.0665000733714,9,Excellent,Herkimer St,Emerson,Pharis,100,7,29,351.120387401,146.39417082,146.394170818137
1662,637,SYR1694,2,19,0.109973663924,8,Good,Herkimer St,Milton,Willis,300,7,29,580.660945521,242.081131191,242.081131180559
1663,638,SYR1695,2,19,0.117067634784,9,Excellent,Herkimer St,Willis,Avery,400,7,29,618.117111658,257.686781929,257.686781935921
1664,639,SYR1696,2,19,0.062566616155,9,Excellent,Herkimer St,Avery,Hayden,500,7,29,330.351733299,137.747072817,137.747072809517
1665,640,SYR1697,2,19,0.0779862382761,9,Excellent,Herriman St,Grand Ave,Fitch,100,11,28,411.767338098,172.113948582,172.113948579379
1666,641,SYR1698,2,19,0.0895433993801,9,Excellent,Herriman St,Fitch,Hartson,200,11,28,472.789148727,197.616197582,197.616197585216
1667,642,SYR17,2,19,0.133619156403,9,Excellent,Ackerman Ave.,Kensington,Broad,1000,16,27,705.50914581,294.860366245,294.860366260968
1668,643,SYR170,2,19,0.0554603938991,7,Good,Ball Ave.,Mountainview,Delray,200,17,27,292.830879788,122.424230888,122.424230893828
1669,644,SYR1701,2,19,0.0953817769052,7,Good,Herz St.,Berkshire,Briggs,100,3,0,503.61578206,210.634467005,210.634466999574
1670,645,SYR1702,2,14,0.0904291871099,9,Excellent,Hiawatha Blvd E,N. Salina,Park,100,1,36,477.46610794,199.432637297,199.432637303894
1671,646,SYR1703,2,17,0.0899342487135,8,Good,Hiawatha Blvd E,Park,Carbon,200,1,47,474.852833207,198.372833377,198.372833368957
